"Pay securely with MADA, credit cards or with Apple Pay","ادفع بأمان باستخدام مدى أو بطاقات الائتمان أو أبل باي"
"Pay securely with MADA and credit cards", "ادفع بأمان مع مدى وبطاقات الائتمان"
"Refund with Amwal", "استرداد مع أموال"
"Are you sure you want to refund %1 with Amwal Payments", "هل أنت متأكد أنك تريد استرداد %1 مع أموال"
"An error occurred while refunding the order", "حدث خطأ أثناء استرداد الطلب"
"Quick checkout (Amwal)", "الدفع السريع (أموال)"
"One or more selected products are currently not available.": "أحد المنتجات المحددة غير متوفر حاليًا."
"The requested qty is not available": "الكمية المطلوبة غير متوفرة"
